id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
OODQ_0019,দলিল বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F07,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0020,দলিল নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F07,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0021,দলিল service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F07,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0022,ভূমি আপিল বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F08,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0023,ভূমি আপিল নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F08,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0024,ভূমি আপিল service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F08,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0025,জমি পরিমাপ বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F09,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0026,জমি পরিমাপ নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F09,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0027,জমি পরিমাপ service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F09,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0028,খাস জমি বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Formal,FALSE,,SYNTHETIC,OOD_LAND_RECORDS_F10,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0029,খাস জমি নিয়ে একটু help দরকার।,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Informal,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F10,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0030,খাস জমি service er information kivabe janbo?,OOD,OOD_LAND_RECORDS,Land Records,OOD_LAND_RECORDS,Land Records,Low,Mixed,FALSE,,PARAPHRASED,OOD_LAND_RECORDS_F10,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0031,বিদ্যুৎ বিল বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F01,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0032,বিদ্যুৎ বিল নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F01,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0033,বিদ্যুৎ বিল service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F01,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0034,গ্যাস সংযোগ বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F02,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0035,গ্যাস সংযোগ নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F02,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0036,গ্যাস সংযোগ service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F02,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0037,পানি বিল বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F03,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0038,পানি বিল নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F03,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0039,পানি বিল service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F03,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0040,মিটার বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F04,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0041,মিটার নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F04,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0042,মিটার service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F04,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0043,লোডশেডিং বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F05,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0044,লোডশেডিং নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F05,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0045,লোডশেডিং service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F05,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0046,পয়ঃনিষ্কাশন বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F06,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0047,পয়ঃনিষ্কাশন নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F06,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0048,পয়ঃনিষ্কাশন service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F06,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0049,লাইন মেরামত বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F07,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0050,লাইন মেরামত নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F07,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0051,লাইন মেরামত service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F07,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0052,বিল সংশোধন বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F08,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0053,বিল সংশোধন নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F08,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0054,বিল সংশোধন service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F08,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0055,নতুন সংযোগ বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F09,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0056,নতুন সংযোগ নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F09,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0057,নতুন সংযোগ service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F09,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0058,ইউটিলিটি অভিযোগ বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Formal,FALSE,,SYNTHETIC,OOD_UTILITY_F10,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0059,ইউটিলিটি অভিযোগ নিয়ে একটু help দরকার।,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Informal,FALSE,,PARAPHRASED,OOD_UTILITY_F10,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0060,ইউটিলিটি অভিযোগ service er information kivabe janbo?,OOD,OOD_UTILITY,Utility,OOD_UTILITY,Utility,Low,Mixed,FALSE,,PARAPHRASED,OOD_UTILITY_F10,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0061,বিশ্ববিদ্যালয় ভর্তি বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F01,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0062,বিশ্ববিদ্যালয় ভর্তি নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F01,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0063,বিশ্ববিদ্যালয় ভর্তি service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F01,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0064,পরীক্ষার ফল বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F02,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0065,পরীক্ষার ফল নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F02,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0066,পরীক্ষার ফল service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F02,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0067,বৃত্তি বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F03,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0068,বৃত্তি নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F03,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0069,বৃত্তি service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F03,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0070,সনদ উত্তোলন বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F04,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0071,সনদ উত্তোলন নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F04,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0072,সনদ উত্তোলন service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F04,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0073,স্কুল বদলি বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F05,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0074,স্কুল বদলি নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F05,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0075,স্কুল বদলি service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F05,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0076,বোর্ড পরীক্ষা বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F06,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0077,বোর্ড পরীক্ষা নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F06,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0078,বোর্ড পরীক্ষা service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F06,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0079,টিউশন ফি বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F07,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0080,টিউশন ফি নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F07,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0081,টিউশন ফি service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F07,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0082,অনলাইন ক্লাস বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F08,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0083,অনলাইন ক্লাস নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F08,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0084,অনলাইন ক্লাস service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F08,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0085,শিক্ষক নিবন্ধন বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F09,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0086,শিক্ষক নিবন্ধন নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F09,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0087,শিক্ষক নিবন্ধন service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F09,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0088,পাঠ্যবই বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Formal,FALSE,,SYNTHETIC,OOD_EDUCATION_F10,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0089,পাঠ্যবই নিয়ে একটু help দরকার।,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Informal,FALSE,,PARAPHRASED,OOD_EDUCATION_F10,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0090,পাঠ্যবই service er information kivabe janbo?,OOD,OOD_EDUCATION,Education,OOD_EDUCATION,Education,Low,Mixed,FALSE,,PARAPHRASED,OOD_EDUCATION_F10,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0091,হাসপাতাল appointment বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Formal,FALSE,,SYNTHETIC,OOD_HEALTH_ADMIN_F01,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0092,হাসপাতাল appointment নিয়ে একটু help দরকার।,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Informal,FALSE,,PARAPHRASED,OOD_HEALTH_ADMIN_F01,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0093,হাসপাতাল appointment service er information kivabe janbo?,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Mixed,FALSE,,PARAPHRASED,OOD_HEALTH_ADMIN_F01,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0094,টিকা সনদ বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Formal,FALSE,,SYNTHETIC,OOD_HEALTH_ADMIN_F02,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0095,টিকা সনদ নিয়ে একটু help দরকার।,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Informal,FALSE,,PARAPHRASED,OOD_HEALTH_ADMIN_F02,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0096,টিকা সনদ service er information kivabe janbo?,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Mixed,FALSE,,PARAPHRASED,OOD_HEALTH_ADMIN_F02,Hard,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0097,স্বাস্থ্য কার্ড বিষয়ে সরকারি সেবা কোথায় পাব?,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Formal,FALSE,,SYNTHETIC,OOD_HEALTH_ADMIN_F03,Easy,TRUE,Synthetic safe OOD example; outside the six supported production services.
OODQ_0098,স্বাস্থ্য কার্ড নিয়ে একটু help দরকার।,OOD,OOD_HEALTH_ADMIN,Health Admin,OOD_HEALTH_ADMIN,Health Admin,Low,Informal,FALSE,,PARAPHRASED,OOD_HEALTH_ADMIN_F03,Medium,TRUE,Synthetic safe OOD example; outside the six supported production services.
