id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes,review_priority,natural_query,service_context_clear,parent_label_correct,query_topic_correct,more_specific_leaf_available,neighbor_confusion_risk,language_style_correct,priority_correct,difficulty_correct,independent_seed,mutable_fact_safe,privacy_safe,retain_leaf,review_decision,review_notes
DLQ_0011,learner licence er required papers ki ki?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_DOCUMENTS,Learner Licence Required Documents,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_DOCUMENTS_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0012,learner form জমা দেওয়ার আগে কোন পরিচয় আর supporting records ready রাখব?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_DOCUMENTS,Learner Licence Required Documents,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_DOCUMENTS_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0013,ড্রাইভিং লাইসেন্স আবেদনে মেডিকেল সার্টিফিকেট কীভাবে জমা দেব?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_MEDICAL,Learner Licence Medical Certificate,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_MEDICAL_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0014,learner licence করতে medical form লাগবে?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_MEDICAL,Learner Licence Medical Certificate,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_MEDICAL_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0015,driving licence medical certificate er process ki?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_MEDICAL,Learner Licence Medical Certificate,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_MEDICAL_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0016,application-এর health certificate কোন stage-এ attach করতে হয় জানতে চাই।,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_MEDICAL,Learner Licence Medical Certificate,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_MEDICAL_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0017,ইস্যু হওয়া লার্নার লাইসেন্স কীভাবে ডাউনলোড করব?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_COPY,Learner Licence Copy or Download,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_COPY_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0018,learner permit-এর print copy কোথায় পাব?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_COPY,Learner Licence Copy or Download,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_COPY_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0019,learner licence download korar option kothay?,DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_COPY,Learner Licence Copy or Download,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_COPY_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0020,"application approve হয়েছে, এখন learner documentটা ফোনে নিতে চাই।",DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,Learner Driving Licence,DRIVING_LICENCE_LEARNER_COPY,Learner Licence Copy or Download,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_LEARNER_COPY_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0021,নতুন পূর্ণাঙ্গ ড্রাইভিং লাইসেন্স পাওয়ার প্রক্রিয়াটি কী?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_NEW_PROCESS,New Driving Licence Application Process,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_NEW_PROCESS_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0022,"learner আছে, এখন main driving licence করতে কী হবে?",DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_NEW_PROCESS,New Driving Licence Application Process,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_NEW_PROCESS_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0023,new smart card driving licence process ta ki?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_NEW_PROCESS,New Driving Licence Application Process,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_NEW_PROCESS_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0024,driving test-এর ধাপ পেরিয়ে licence issue করার application কীভাবে করব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_NEW_PROCESS,New Driving Licence Application Process,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_NEW_PROCESS_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0025,বিআরটিএ সার্ভিস পোর্টালে ড্রাইভিং লাইসেন্সের আবেদন কীভাবে করব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_ONLINE_APPLICATION,Online Driving Licence Application,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_ONLINE_APPLICATION_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0026,driving licence online apply করতে কোথায় যাব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_ONLINE_APPLICATION,Online Driving Licence Application,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_ONLINE_APPLICATION_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0027,BSP diye licence application submit korbo kivabe?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_ONLINE_APPLICATION,Online Driving Licence Application,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_ONLINE_APPLICATION_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0028,"portal account আছে, এখন new licence formটা online-এ শুরু করতে চাই।",DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_ONLINE_APPLICATION,Online Driving Licence Application,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_ONLINE_APPLICATION_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0029,পেশাদার ও অপেশাদার ড্রাইভিং লাইসেন্সের মধ্যে কোন ধরন নির্বাচন করব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_TYPE_SELECTION,Professional or Non-Professional Licence Type,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_TYPE_SELECTION_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0030,professional licence আর non-professional-এর application type কীভাবে choose করব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_TYPE_SELECTION,Professional or Non-Professional Licence Type,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_TYPE_SELECTION_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0031,driving licence type selection ta bujhbo kivabe?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_TYPE_SELECTION,Professional or Non-Professional Licence Type,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_TYPE_SELECTION_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0032,নিজের গাড়ি আর পেশাগত driving-এর জন্য licence category আলাদা কি না guidance চাই।,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_TYPE_SELECTION,Professional or Non-Professional Licence Type,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_TYPE_SELECTION_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,MANDATORY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0033,ড্রাইভিং লাইসেন্স আবেদনে মোটরযানের শ্রেণি কীভাবে নির্বাচন করব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_VEHICLE_CLASS,Driving Licence Vehicle Class Selection,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_VEHICLE_CLASS_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0034,motorcycle আর car-এর জন্য কোন class select হবে?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_VEHICLE_CLASS,Driving Licence Vehicle Class Selection,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_VEHICLE_CLASS_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0035,licence vehicle class choose korar niyom ki?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_VEHICLE_CLASS,Driving Licence Vehicle Class Selection,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_VEHICLE_CLASS_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0036,একেবারে নতুন application-এ কোন vehicle category চাই সেটা form-এ কোথায় দেব?,DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,New Driving Licence Application,DRIVING_LICENCE_VEHICLE_CLASS,Driving Licence Vehicle Class Selection,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_VEHICLE_CLASS_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0037,ড্রাইভিং লাইসেন্সের যোগ্যতা পরীক্ষায় কী কী ধাপ থাকে?,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_PROCESS,Driving Test Process,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_PROCESS_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0038,driving test দিতে গেলে processটা কী?,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_PROCESS,Driving Test Process,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_PROCESS_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0039,DCTC test process ta kivabe hoy?,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_PROCESS,Driving Test Process,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_PROCESS_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0040,written আর practical অংশসহ পুরো পরীক্ষার flow জানতে চাই।,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_PROCESS,Driving Test Process,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_PROCESS_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0041,ড্রাইভিং পরীক্ষার তারিখ কীভাবে নির্ধারণ বা দেখব?,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_SCHEDULE,Driving Test Schedule or Appointment,Low,Formal,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_SCHEDULE_F01,Easy,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0042,"আমার driving test কবে, কোথায় check করব?",DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_SCHEDULE,Driving Test Schedule or Appointment,Low,Informal,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_SCHEDULE_F02,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0043,driving test schedule online e kivabe dekhbo?,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_SCHEDULE,Driving Test Schedule or Appointment,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_SCHEDULE_F03,Medium,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,STANDARD,YES,YES,YES,YES,NO,LOW,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
DLQ_0044,learner licence হয়ে গেছে—competency test-এর appointment কোন step-এ পাব?,DRIVING_LICENCE,DRIVING_LICENCE_TEST,Driving Competency Test,DRIVING_LICENCE_TEST_SCHEDULE,Driving Test Schedule or Appointment,Low,Mixed,FALSE,,SYNTHETIC,DRIVING_LICENCE_TEST_SCHEDULE_F04,Hard,FALSE,Driving Licence pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.,BOUNDARY,YES,YES,YES,YES,NO,MEDIUM,YES,YES,YES,YES,YES,YES,YES,PASS,"Reviewed independent seed; natural wording, stable intent, correct metadata, and no mutable fact or private value."
