id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes
PGDQ_0012,ঘটনা চলমান এবং দ্রুত পুলিশ দরকার—কোন service-এ যোগাযোগ করা উচিত?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_EMERGENCY_ROUTING,Emergency or Immediate-Danger Routing,High,Mixed,FALSE,,SYNTHETIC,POLICE_GD_EMERGENCY_ROUTING_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0013,"আমার অভিযোগটি জিডি হবে নাকি মামলার প্রক্রিয়ায় যাবে, কীভাবে জানব?",POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_CASE_VS_GD_GUIDANCE,GD Versus Case/Complaint Guidance,Medium,Formal,FALSE,,SYNTHETIC,POLICE_GD_CASE_VS_GD_GUIDANCE_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0014,complaint submit করলে থানায় যেতে হবে কিনা বুঝব কীভাবে?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_CASE_VS_GD_GUIDANCE,GD Versus Case/Complaint Guidance,Medium,Informal,FALSE,,SYNTHETIC,POLICE_GD_CASE_VS_GD_GUIDANCE_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0015,GD ar case process er moddhe amar report ta kothay pore?,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_CASE_VS_GD_GUIDANCE,GD Versus Case/Complaint Guidance,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_CASE_VS_GD_GUIDANCE_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0016,online complaint দেওয়ার পর station attendance দরকার হতে পারে কি—official guidance চাই।,POLICE_GD,POLICE_GD_GUIDANCE,GD Purpose and Routing Guidance,POLICE_GD_CASE_VS_GD_GUIDANCE,GD Versus Case/Complaint Guidance,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_CASE_VS_GD_GUIDANCE_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0017,সাধারণ ডায়েরি করার সম্পূর্ণ প্রক্রিয়াটি কী?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_FILING_PROCESS,General Diary Filing Process,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_FILING_PROCESS_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0018,"GD করতে চাই, কীভাবে শুরু করব?",POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_FILING_PROCESS,General Diary Filing Process,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_FILING_PROCESS_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0019,general diary file korar steps ki?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_FILING_PROCESS,General Diary Filing Process,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_FILING_PROCESS_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0020,একটি ঘটনা থানায় GD হিসেবে record করার নিয়ম জানতে চাই।,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_FILING_PROCESS,General Diary Filing Process,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_FILING_PROCESS_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0021,অনলাইনে জিডি কীভাবে জমা দেব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ONLINE_SUBMISSION,Online GD Submission,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_ONLINE_SUBMISSION_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0022,Online GD app দিয়ে complaint submit করব কীভাবে?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ONLINE_SUBMISSION,Online GD Submission,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_ONLINE_SUBMISSION_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0023,online e GD file korar process ta ki?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ONLINE_SUBMISSION,Online GD Submission,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_ONLINE_SUBMISSION_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0024,"portal account আছে, এখন digital GD application কোথা থেকে শুরু করব?",POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ONLINE_SUBMISSION,Online GD Submission,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_ONLINE_SUBMISSION_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0025,জিডি করতে কী কী তথ্য দিতে হয়?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_REQUIRED_INFORMATION,Information Required for GD,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_REQUIRED_INFORMATION_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0026,GD form-এ incident-এর কোন details লাগবে?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_REQUIRED_INFORMATION,Information Required for GD,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_REQUIRED_INFORMATION_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0027,online GD er required information ki ki?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_REQUIRED_INFORMATION,Information Required for GD,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_REQUIRED_INFORMATION_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0028,"ঘটনার সময়, স্থান আর বর্ণনার মধ্যে কোন তথ্যগুলো প্রস্তুত রাখব?",POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_REQUIRED_INFORMATION,Information Required for GD,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_REQUIRED_INFORMATION_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0029,জিডির সঙ্গে সহায়ক কাগজ বা ছবি কীভাবে যুক্ত করব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ATTACHMENTS,GD Supporting Documents and Attachments,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_ATTACHMENTS_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0030,complaint-এর proof upload করা যাবে?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ATTACHMENTS,GD Supporting Documents and Attachments,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_ATTACHMENTS_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0031,online GD te supporting document attach korbo kivabe?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ATTACHMENTS,GD Supporting Documents and Attachments,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_ATTACHMENTS_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0032,ঘটনার একটি image আছে—application-এর কোন ধাপে attachment দেব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_ATTACHMENTS,GD Supporting Documents and Attachments,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_ATTACHMENTS_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0033,জিডিতে ঘটনার সময় ও স্থান কীভাবে লিখব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_INCIDENT_DETAILS,"Incident Time, Place and Description",Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_INCIDENT_DETAILS_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0034,incident description-এ কতটা detail দেব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_INCIDENT_DETAILS,"Incident Time, Place and Description",Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_INCIDENT_DETAILS_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0035,GD te ghotonar jayga o shomoy kivabe mention korbo?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_INCIDENT_DETAILS,"Incident Time, Place and Description",Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_INCIDENT_DETAILS_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0036,ঘটনাটা কয়েক ধাপে হয়েছে—complaint narrative কীভাবে সাজাব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_INCIDENT_DETAILS,"Incident Time, Place and Description",Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_INCIDENT_DETAILS_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0037,জিডির জন্য কোন থানা নির্বাচন করব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_JURISDICTION,Police Station and Jurisdiction Selection,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_JURISDICTION_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0038,"ঘটনা অন্য এলাকায় হয়েছে, কোন police station select হবে?",POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_JURISDICTION,Police Station and Jurisdiction Selection,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_JURISDICTION_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0039,online GD te district thana choose korbo kivabe?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_JURISDICTION,Police Station and Jurisdiction Selection,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_JURISDICTION_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0040,বাসা এক থানায় আর ঘটনাস্থল অন্য থানায়—application কোন jurisdiction-এ দেব?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_JURISDICTION,Police Station and Jurisdiction Selection,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_JURISDICTION_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0041,অনলাইন GD complaint জমা দেওয়ার আগে পরিচয় যাচাইয়ের জন্য কী কী প্রয়োজন?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_IDENTITY_REQUIREMENTS,Online GD Identity and Registration Requirements,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_IDENTITY_REQUIREMENTS_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0042,Online GD complaint submit করার আগে কোন identity information verify করতে হয়?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_IDENTITY_REQUIREMENTS,Online GD Identity and Registration Requirements,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_IDENTITY_REQUIREMENTS_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0043,online GD complaint submit korte identity verification er requirements ki ki?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_IDENTITY_REQUIREMENTS,Online GD Identity and Registration Requirements,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_IDENTITY_REQUIREMENTS_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0044,complaint file করার আগে user identity verification-এর কোন stepগুলো complete করতে হয়?,POLICE_GD,POLICE_GD_FILING,GD Filing and Submission,POLICE_GD_IDENTITY_REQUIREMENTS,Online GD Identity and Registration Requirements,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_IDENTITY_REQUIREMENTS_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0045,গুরুত্বপূর্ণ কাগজপত্র হারিয়ে গেলে জিডি কীভাবে করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_DOCUMENT,Lost Document GD,Medium,Formal,FALSE,,SYNTHETIC,POLICE_GD_LOST_DOCUMENT_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0046,"certificate হারিয়েছে, GD করতে চাই।",POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_DOCUMENT,Lost Document GD,Medium,Informal,FALSE,,SYNTHETIC,POLICE_GD_LOST_DOCUMENT_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0047,lost document er jonno online GD file korbo kivabe?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_DOCUMENT,Lost Document GD,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_LOST_DOCUMENT_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0048,"একটি পরিচয়পত্র খুঁজে পাচ্ছি না, loss report হিসেবে কোন category নেব?",POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_DOCUMENT,Lost Document GD,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_LOST_DOCUMENT_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0049,মোবাইল বা অন্য কোনো জিনিস হারালে জিডি কীভাবে করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_ITEM_DEVICE,Lost Item or Device GD,Medium,Formal,FALSE,,SYNTHETIC,POLICE_GD_LOST_ITEM_DEVICE_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0050,"আমার bag হারিয়েছে, online GD দিতে চাই।",POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_ITEM_DEVICE,Lost Item or Device GD,Medium,Informal,FALSE,,SYNTHETIC,POLICE_GD_LOST_ITEM_DEVICE_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0051,lost device er GD category konta?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_ITEM_DEVICE,Lost Item or Device GD,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_LOST_ITEM_DEVICE_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0052,যাতায়াতের পথে একটি জিনিস পড়ে গেছে—loss complaint কীভাবে submit করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_LOST_ITEM_DEVICE,Lost Item or Device GD,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_LOST_ITEM_DEVICE_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0053,জিনিস চুরি হলে অনলাইন GD-তে কোন incident category নির্বাচন করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_STOLEN_ITEM,Stolen Item GD/Complaint,Medium,Formal,FALSE,,SYNTHETIC,POLICE_GD_STOLEN_ITEM_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0054,phone stolen হলে কোন complaint category ব্যবহার করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_STOLEN_ITEM,Stolen Item GD/Complaint,Medium,Informal,FALSE,,SYNTHETIC,POLICE_GD_STOLEN_ITEM_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0055,churi jawa item er jonno kon GD category select korbo?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_STOLEN_ITEM,Stolen Item GD/Complaint,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_STOLEN_ITEM_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0056,wallet চুরি হয়েছে—online report-এ stolen item category কোনটি?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_STOLEN_ITEM,Stolen Item GD/Complaint,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_STOLEN_ITEM_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0057,কুড়িয়ে পাওয়া জিনিস report করতে কোন GD category নির্বাচন করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_FOUND_ITEM,Found Item Report,Medium,Formal,FALSE,,SYNTHETIC,POLICE_GD_FOUND_ITEM_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0058,একটা lost phone পেয়েছি—found item হিসেবে কোন category select করব?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_FOUND_ITEM,Found Item Report,Medium,Informal,FALSE,,SYNTHETIC,POLICE_GD_FOUND_ITEM_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0059,found item er jonno kon report category select korbo?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_FOUND_ITEM,Found Item Report,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_FOUND_ITEM_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0060,রাস্তায় একটি ব্যাগ পেয়েছি—found property category কোনটি?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_FOUND_ITEM,Found Item Report,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_FOUND_ITEM_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0061,"হারানো, চুরি বা পাওয়া জিনিস নয়—এমন ঘটনার জন্য কোন GD category ব্যবহার করব?",POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_OTHER_INCIDENT,Other Non-Emergency GD Complaint,Medium,Formal,FALSE,,SYNTHETIC,POLICE_GD_OTHER_INCIDENT_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0062,non-emergency incident টি কোন other complaint category-তে পড়ে?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_OTHER_INCIDENT,Other Non-Emergency GD Complaint,Medium,Informal,FALSE,,SYNTHETIC,POLICE_GD_OTHER_INCIDENT_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0063,other non-emergency complaint er jonno kon GD category select korbo?,POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_OTHER_INCIDENT,Other Non-Emergency GD Complaint,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_OTHER_INCIDENT_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0064,"ঘটনাটি lost, stolen বা found item নয়—কোন other incident category নির্বাচন করব?",POLICE_GD,POLICE_GD_INCIDENT_TYPE,GD Incident and Item Type,POLICE_GD_OTHER_INCIDENT,Other Non-Emergency GD Complaint,Medium,Mixed,FALSE,,SYNTHETIC,POLICE_GD_OTHER_INCIDENT_F04,Hard,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0065,অনলাইন জিডির জন্য নতুন user account কীভাবে খুলব?,POLICE_GD,POLICE_GD_ONLINE_ACCOUNT,Online GD Account and Access,POLICE_GD_ACCOUNT_REGISTRATION,Online GD Account Registration,Low,Formal,FALSE,,SYNTHETIC,POLICE_GD_ACCOUNT_REGISTRATION_F01,Easy,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0066,GD portal-এ নতুন account register করার নিয়ম কী?,POLICE_GD,POLICE_GD_ONLINE_ACCOUNT,Online GD Account and Access,POLICE_GD_ACCOUNT_REGISTRATION,Online GD Account Registration,Low,Informal,FALSE,,SYNTHETIC,POLICE_GD_ACCOUNT_REGISTRATION_F02,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
PGDQ_0067,online GD account create korbo kivabe?,POLICE_GD,POLICE_GD_ONLINE_ACCOUNT,Online GD Account and Access,POLICE_GD_ACCOUNT_REGISTRATION,Online GD Account Registration,Low,Mixed,FALSE,,SYNTHETIC,POLICE_GD_ACCOUNT_REGISTRATION_F03,Medium,FALSE,Police GD pilot v0.1 independent synthetic seed; semantically reviewed; do not train before project-wide approval.
