id,text,service,parent_topic_id,parent_topic,query_topic_id,query_topic,priority,language_style,privacy_present,privacy_types,source_type,parent_query_id,difficulty,is_ood,annotation_notes,review_priority,natural_query,passport_context_clear,parent_label_correct,query_topic_correct,more_specific_leaf_available,neighbor_confusion_risk,language_style_correct,priority_correct,difficulty_correct,independent_seed,mutable_fact_safe,privacy_safe,retain_leaf,review_decision,review_notes
PASSQ_0011,amar address onujayi kon passport office select korbo?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0012,application submit করার আগে responsible passport officeটা কীভাবে নির্ধারণ করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICE_SELECTION,Passport Office Selection,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICE_SELECTION_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0013,ই-পাসপোর্ট আবেদনপত্রে কী কী ব্যক্তিগত তথ্য দিতে হয়?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_INFORMATION,Passport Application Information,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_INFORMATION_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0014,passport form fill up করতে কোন কোন information লাগবে?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_INFORMATION,Passport Application Information,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_INFORMATION_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0015,e-passport application e ki ki info dite hoy?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_INFORMATION,Passport Application Information,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_INFORMATION_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0016,"documents না, form-এর ভেতরে কোন details লিখতে হবে সেটা জানতে চাই।",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_INFORMATION,Passport Application Information,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_INFORMATION_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0017,ই-পাসপোর্ট আবেদনে কী কী মেয়াদ ও পৃষ্ঠাসংখ্যার অপশন পাওয়া যায়?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PASSPORT_OPTIONS,"Passport Type, Validity and Page Options",Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PASSPORT_OPTIONS_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0018,passport apply করার সময় validity আর page option কীভাবে choose করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PASSPORT_OPTIONS,"Passport Type, Validity and Page Options",Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PASSPORT_OPTIONS_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0019,passport er validity o page option gulo ki?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PASSPORT_OPTIONS,"Passport Type, Validity and Page Options",Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PASSPORT_OPTIONS_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0020,"fee না, application-এর সময় কোন passport option select করা যায় সেটা জানতে চাই।",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_PASSPORT_OPTIONS,"Passport Type, Validity and Page Options",Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_PASSPORT_OPTIONS_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0021,বিদেশে অবস্থান করে নতুন বাংলাদেশি ই-পাসপোর্টের আবেদন কীভাবে করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OVERSEAS,New Passport Application From Abroad,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OVERSEAS_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0022,"আমি abroad থাকি, first passport embassy দিয়ে করতে পারব?",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OVERSEAS,New Passport Application From Abroad,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OVERSEAS_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0023,bidesh theke new Bangladesh passport apply korbo kivabe?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OVERSEAS,New Passport Application From Abroad,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OVERSEAS_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0024,আগে passport ছিল না; overseas থেকে new application কোন mission-এর মাধ্যমে করব?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OVERSEAS,New Passport Application From Abroad,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OVERSEAS_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0025,অফিশিয়াল বা ডিপ্লোম্যাটিক পাসপোর্টের জন্য আবেদন প্রক্রিয়া কী?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Application,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0026,government employee হিসেবে official passport apply করব কীভাবে?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Application,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0027,diplomatic passport application process ta ki?,PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Application,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0028,"GO বা NOC-এর list না, official passport-এর application workflow জানতে চাই।",PASSPORT,PASSPORT_APPLICATION,New Passport Application,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Application,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_APPLICATION_OFFICIAL_DIPLOMATIC_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0029,ই-পাসপোর্ট আবেদনের জন্য সাধারণভাবে কী কী কাগজপত্র প্রয়োজন?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_REQUIRED,General Passport Required Documents,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_REQUIRED_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0030,passport করতে overall কোন documents লাগবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_REQUIRED,General Passport Required Documents,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_REQUIRED_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0031,passport application er required documents ki ki?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_REQUIRED,General Passport Required Documents,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_REQUIRED_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0032,NID নিয়ে আলাদা প্রশ্ন না—পুরো document checklistটা জানতে চাই।,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_REQUIRED,General Passport Required Documents,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_REQUIRED_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0033,ই-পাসপোর্ট করতে জাতীয় পরিচয়পত্র প্রয়োজন কি?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_NID_REQUIREMENT,NID Requirement for Passport,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_NID_REQUIREMENT_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0034,passport application-এর জন্য NID mandatory নাকি?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_NID_REQUIREMENT,NID Requirement for Passport,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_NID_REQUIREMENT_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0035,passport korte NID lagbe ki?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_NID_REQUIREMENT,NID Requirement for Passport,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_NID_REQUIREMENT_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0036,"general documents না, specifically NID লাগবে কিনা জানতে চাই।",PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_NID_REQUIREMENT,NID Requirement for Passport,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_NID_REQUIREMENT_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0037,ই-পাসপোর্ট আবেদনে জন্মনিবন্ধন সনদ ব্যবহার করা যায় কি?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT,Birth Registration Requirement for Passport,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0038,passport করতে birth registration লাগবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT,Birth Registration Requirement for Passport,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0039,birth certificate diye passport apply kora jabe?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT,Birth Registration Requirement for Passport,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0040,NID না থাকলে passport-এর জন্য Birth Registration গ্রহণ করা হয় কি?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT,Birth Registration Requirement for Passport,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_BIRTH_REGISTRATION_REQUIREMENT_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0041,পাসপোর্ট পুনরায় ইস্যুর সময় আগের পাসপোর্টটি কি সঙ্গে দিতে হবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT,Previous Passport Document Requirement,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0042,reissue করতে old passport নিয়ে যেতে হবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT,Previous Passport Document Requirement,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0043,previous passport document hisebe lagbe ki?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT,Previous Passport Document Requirement,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0044,"reissue process না, existing passportটা supporting document হিসেবে প্রয়োজন কিনা জানতে চাই।",PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT,Previous Passport Document Requirement,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_PREVIOUS_PASSPORT_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0045,অপ্রাপ্তবয়স্ক শিশুর পাসপোর্টের জন্য কী কী কাগজপত্র লাগে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MINOR_APPLICANT,Documents for Minor Passport Applicant,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MINOR_APPLICANT_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0046,আমার বাচ্চার passport করতে কোন documents লাগবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MINOR_APPLICANT,Documents for Minor Passport Applicant,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MINOR_APPLICANT_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0047,minor applicant er passport documents ki ki?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MINOR_APPLICANT,Documents for Minor Passport Applicant,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MINOR_APPLICANT_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0048,adult applicant না—child passport-এর supporting papers জানতে চাই।,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MINOR_APPLICANT,Documents for Minor Passport Applicant,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MINOR_APPLICANT_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0049,ই-পাসপোর্ট এনরোলমেন্টের দিনে কোন কোন কাগজপত্র সঙ্গে নিতে হবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_ENROLMENT,Documents Required for Passport Enrolment,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_ENROLMENT_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0050,biometric দিতে গেলে কী documents নিয়ে যাব?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_ENROLMENT,Documents Required for Passport Enrolment,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_ENROLMENT_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0051,passport enrolment er din kon papers carry korte hoy?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_ENROLMENT,Documents Required for Passport Enrolment,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_ENROLMENT_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,STANDARD,,,,,,,,,,,,,,,
PASSQ_0052,"appointment preparation না, specifically enrolment day-এর document list চাই।",PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_ENROLMENT,Documents Required for Passport Enrolment,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_ENROLMENT_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training.,BOUNDARY,,,,,,,,,,,,,,,
PASSQ_0053,পাসপোর্ট আবেদনের প্রয়োজনীয় একটি কাগজ আমার কাছে নেই; কী করব?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MISSING,Missing or Unavailable Passport Document,Medium,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MISSING_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0054,"required passport document একটা missing, এখন application কীভাবে এগোব?",PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MISSING,Missing or Unavailable Passport Document,Medium,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MISSING_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0055,"passport er ekta dorkarer document nai, ki korbo?",PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MISSING,Missing or Unavailable Passport Document,Medium,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MISSING_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0056,passport হারায়নি—supporting document unavailable হলে কী করতে হবে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_MISSING,Missing or Unavailable Passport Document,Medium,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_MISSING_F04,Hard,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0057,অফিশিয়াল বা ডিপ্লোম্যাটিক পাসপোর্টের জন্য কী কী সহায়ক কাগজপত্র লাগে?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Documents,Low,Formal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_OFFICIAL_DIPLOMATIC_F01,Easy,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0058,official passport-এর জন্য GO বা NOC লাগবে কিনা জানতে চাই।,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Documents,Low,Informal,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_OFFICIAL_DIPLOMATIC_F02,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
PASSQ_0059,diplomatic passport er supporting documents ki?,PASSPORT,PASSPORT_DOCUMENTS,Passport Documents and Requirements,PASSPORT_DOCUMENTS_OFFICIAL_DIPLOMATIC,Official or Diplomatic Passport Documents,Low,Mixed,FALSE,,SYNTHETIC,PASSPORT_DOCUMENTS_OFFICIAL_DIPLOMATIC_F03,Medium,FALSE,Passport pilot v0.1 synthetic independent seed; human semantic review required before training. Mandatory pilot-review leaf.,MANDATORY,,,,,,,,,,,,,,,
